PCA_1,PCA_2,PCA_3,SubjectID,Rank,UpdateDT,RankChange
284.0887353073573,-97.8892687664891,3.444341020804771,517,170,2022-09-08 15:13:00,146.0
313.7716844289687,47.71934750566176,-5.046816597947922,517,170,2022-10-07 18:20:00,0.0
317.621861776178,47.53034211114807,-29.43952898652579,517,170,2022-10-13 08:42:00,0.0
-206.3477752482493,1.6340730528414582,-5.037538405018072,518,18,2021-05-06 14:13:00,-102.0
-197.78992997432292,-100.52530823035774,-0.9903195436163674,518,17,2021-05-15 21:41:00,-1.0
-190.00479868746518,-101.39214005488115,-6.3508176982503795,518,52,2021-05-24 10:53:00,35.0
-180.36070562144292,-66.74152988376528,3.4507117507307257,518,24,2021-06-02 13:51:00,-28.0
-168.71406690478474,-94.75978888579661,0.1827650405766299,518,166,2021-06-13 22:57:00,142.0
-159.92095407305487,47.0545654759667,-6.761262365263656,518,17,2021-06-22 11:35:00,-149.0
-150.64462319294515,-101.94399884369659,2.4852248008227846,518,24,2021-07-01 16:34:00,7.0
-139.67939813440546,-94.99520615120716,-1.0865720295051773,518,23,2021-07-13 10:53:00,-1.0
-132.02716173874862,-96.0401085928298,-8.000103622951537,518,16,2021-07-20 21:38:00,-7.0
-114.4243507449445,-103.12657932073648,5.417474067302976,518,18,2021-08-06 16:31:00,2.0
-104.79717109234451,-101.32029232826318,-5.490212659655125,518,14,2021-08-17 11:33:00,-4.0
-80.18094404690945,-105.37052574529507,8.680734254194583,518,167,2021-09-09 21:22:00,153.0
-51.950527096569886,47.22914091101991,10.65817790143668,518,158,2021-10-06 21:07:00,-9.0
-37.80777905082661,38.584362310137166,-6.85441034162298,518,171,2021-10-21 14:41:00,13.0
-16.28924215562685,51.25452291442981,2.2607262698781696,518,16,2021-11-11 20:22:00,-155.0
6.816958791214489,-104.05302328713253,6.36973285725815,518,12,2021-12-06 10:47:00,-4.0
28.220742666548745,-108.07490235593941,-6.608418486269684,518,11,2021-12-28 09:44:00,-1.0
66.21576026171908,-109.43079119197608,16.669321750130056,518,151,2022-02-02 17:20:00,140.0
94.80431194240924,30.347037290734292,7.541004588345331,518,4,2022-03-03 08:29:00,-147.0
126.85573530851951,-116.63876338070779,8.224718330550338,518,166,2022-04-05 07:57:00,162.0
157.94663286758254,44.7093400016182,4.519341189233007,518,156,2022-05-04 22:07:00,-10.0
186.81049928008412,34.557035670910935,3.485813189585979,518,16,2022-06-03 07:46:00,-140.0
218.88939419850124,-105.49546193773502,4.961550777568636,518,12,2022-07-06 09:11:00,-4.0
245.63526467839966,-109.6962284865246,-0.40792624336854644,518,22,2022-08-02 11:02:00,10.0
284.0057539326074,-99.81953394491865,4.541865924128938,518,169,2022-09-08 15:13:00,147.0
313.6959690626893,46.787898035357344,-3.951398519203037,518,169,2022-10-07 18:20:00,0.0
317.56805024786877,46.504131992180206,-29.161308068770126,518,162,2022-10-13 08:42:00,-7.0
-206.26426979217433,1.8739493497440236,-5.910964330977981,519,61,2021-05-06 14:13:00,-59.0
-197.4236701610369,-57.15498326054036,-2.0296005581564174,519,67,2021-05-15 21:41:00,6.0
-189.5519400830442,-51.113685532151806,-7.167339317604167,519,59,2021-05-24 10:53:00,-8.0
-180.24579262928745,-59.26880599960609,2.9100630955501963,519,57,2021-06-02 13:51:00,-2.0
-168.35881847289355,-61.37835585126446,-0.745413902007229,519,94,2021-06-13 22:57:00,37.0
-160.43089652220294,-24.390857747009846,-7.409665919697629,519,92,2021-06-22 11:35:00,-2.0
-150.05728327495464,-26.550155459923232,1.5977739052897668,519,100,2021-07-01 16:34:00,8.0
-139.10363213505073,-18.60448218588148,-2.291158462525157,519,64,2021-07-13 10:53:00,-36.0
-131.66852015467782,-54.57771483142642,-9.091573164786066,519,43,2021-07-20 21:38:00,-21.0
-114.25693011975466,-75.59946532096944,4.5212205549395,519,123,2021-08-06 16:31:00,80.0
-104.13548887080685,4.171359001694341,-6.115329955509816,519,118,2021-08-17 11:33:00,-5.0
-79.48008740494902,-0.9714427302561006,7.793173527752536,519,93,2021-09-09 21:22:00,-25.0
-52.520139518302216,-26.242320652702944,9.882355270041991,519,104,2021-10-06 21:07:00,11.0
-38.21938730133425,-15.28406907612812,-7.598607037104298,519,110,2021-10-21 14:41:00,6.0
